page_likes,category,post_month,post_weekday,post_hour,paid,total_reach,total_impressions,engaged_users,post_consumers,post_consumptions,fan_impressions,fan_reach,fan_engaged,engagement_rate,is_weekend,log_total_reach,log_total_impressions,log_fan_reach,log_fan_impressions,log_engaged_users,log_page_likes,type_Photo,type_Status,type_Video,log_total_interactions
139441,2,12,4,3,0,2752,5091,178,109,159,3078,1640,119,0.06468,0,7.920446505142607,8.535425959677298,7.403061091090091,8.0323601479245,5.187385805840755,11.845404023177673,1,0,0,4.61512051684126
139441,2,12,3,10,0,10460,19057,1457,1361,1674,11710,6112,1108,0.139293,0,9.25540933534376,9.855242239908133,8.718172930028725,9.368283850042138,7.284820912568604,11.845404023177673,0,1,0,5.10594547390058
139441,3,12,3,3,0,2413,4373,177,113,154,2812,1503,132,0.073353,0,7.789040401657477,8.383433201236713,7.315883504509785,7.9420068084898565,5.181783550292085,11.845404023177673,1,0,0,4.394449154672439
139441,2,12,2,10,1,50128,87991,2211,790,1119,61027,32048,1386,0.044107,0,10.822354961923732,11.385001180236953,10.375021260613996,11.019088054233093,7.701652362642226,11.845404023177673,1,0,0,7.48324441607385
139441,2,12,2,3,0,7244,13594,671,410,580,6228,3200,396,0.092628,0,8.888066854754783,9.51745735706657,8.071218539969863,8.736971085254146,6.51025834052315,11.845404023177673,1,0,0,5.976350909297934
139441,2,12,1,9,0,10472,20849,1191,1073,1389,16034,7852,1016,0.113732,0,9.256555795773146,9.945109227226947,8.968650903374874,9.682529112127256,7.083387847625295,11.845404023177673,0,1,0,5.231108616854587
139441,3,12,1,3,1,11692,19479,481,265,364,15432,9328,379,0.041139,0,9.366745651140318,9.877143577196525,9.140883106960962,9.64426335290083,6.1779441140506,11.845404023177673,1,0,0,5.634789603169249
139441,3,12,7,9,1,13720,24137,537,232,305,19728,11056,422,0.03914,1,9.526682784921174,10.091542641177844,9.310818990542401,9.889844913494969,6.2878585601617845,11.845404023177673,1,0,0,5.8289456176102075
139441,2,12,7,3,0,11844,22538,1530,1407,1692,15220,7912,1250,0.129179,1,9.379661116592885,10.02300242103727,8.976262255609193,9.630431332279667,7.333676395657684,11.845404023177673,0,1,0,5.262690188904886
139441,3,12,6,10,0,4694,8668,280,183,250,4309,2324,199,0.059651,1,8.454253391642363,9.06750872286864,7.751475318021456,8.368693183097793,5.638354669333745,11.845404023177673,1,0,0,4.962844630259907
139441,2,12,5,10,0,21744,42334,4258,4100,4540,37849,18952,3798,0.195824,0,9.987139125031739,10.653369446076377,9.8497175093263,10.541386258865595,8.356789669923213,11.845404023177673,0,1,0,5.53338948872752
139441,2,12,5,10,0,3112,5590,208,127,145,3887,2174,165,0.066838,0,8.043342170441608,8.628913441026645,7.684783943522785,8.265650165580329,5.342334251964811,11.845404023177673,1,0,0,4.672828834461906
139441,2,12,5,10,0,2847,5133,193,115,133,3779,2072,152,0.067791,0,7.954372272531867,8.543640361431086,7.636752112435779,8.237479288613633,5.267858159063328,11.845404023177673,1,0,0,4.653960350157523
139441,2,12,5,3,0,2549,4896,249,134,168,3631,1917,183,0.097685,0,7.843848638152472,8.496378051702317,7.559038255443384,8.197538739721184,5.521460917862246,11.845404023177673,1,0,0,5.030437921392435
138414,2,12,4,5,1,22784,39941,887,337,417,34415,19312,684,0.038931,0,10.033857703697983,10.59518368082876,9.8685337232726,10.44627685150751,6.78897174299217,11.838011697795746,1,0,0,6.396929655216146
138414,2,12,3,10,0,10060,19680,1264,1209,1425,17272,8548,1162,0.125646,0,9.21642184229205,9.887408982323437,9.053569596026234,9.756899867693285,7.142827401161621,11.838011697795746,0,1,0,4.6913478822291435
138414,3,12,3,3,0,1722,2981,163,123,148,1868,1050,123,0.094657,0,7.45182223652793,8.000349495324684,6.957497370876951,7.533158807455563,5.099866427824199,11.838011697795746,1,0,0,4.007333185232471
138414,1,12,2,12,1,53264,111785,1706,1103,1655,92512,39776,1307,0.032029,0,10.883034734045298,11.62434160824841,10.591044134782829,11.43510445416616,7.442492722794441,11.838011697795746,1,0,0,6.570882962339584
138414,3,12,2,3,0,3930,7509,130,86,112,5009,2410,101,0.033079,0,8.27664912542186,8.92399074475818,7.787796878181171,8.51919119407891,4.875197323201151,11.838011697795746,0,1,0,4.330733340286331
138414,3,12,1,11,0,1591,2825,121,88,111,2116,1161,100,0.076053,0,7.3727463664043285,7.946617563244473,7.057897937411856,7.6577552711348655,4.804021044733257,11.838011697795746,1,0,0,3.7612001156935624
138414,2,12,1,3,0,2848,5066,200,142,184,3561,1963,157,0.070225,0,7.954723334497908,8.53050420547591,7.582738488914411,8.178077463849608,5.303304908059076,11.838011697795746,1,0,0,4.406719247264253
138414,1,12,7,10,0,1384,2467,15,15,20,2196,1172,15,0.010838,1,7.233455418621439,7.811163385025279,7.067319848653476,7.69484807238461,2.772588722239781,11.838011697795746,1,0,0,0.0
138414,1,12,7,10,0,3454,6853,118,104,130,6282,3100,106,0.034163,1,8.14757773620177,8.832587702434553,8.03947991910045,8.745602852402946,4.77912349311153,11.838011697795746,0,0,0,2.9444389791664403
138414,3,12,7,3,0,2723,4888,176,118,143,2964,1621,143,0.064635,1,7.909856667269403,8.494743062578646,7.3914152346753585,7.994632311431825,5.176149732573829,11.838011697795746,1,0,0,4.574710978503383
138414,2,12,6,10,0,8488,15294,1341,1270,1489,9684,5244,995,0.157988,1,9.046526486737967,9.635281256585003,8.565030520830398,9.178333575841096,7.201916317531627,11.838011697795746,0,1,0,4.804021044733257
138458,2,12,6,3,0,8284,15104,1521,1462,1711,10266,5372,1200,0.183607,1,9.022201929860664,9.622781093820773,8.589141690728821,9.236690147298965,7.3277805384216315,11.838329531903465,0,1,0,4.672828834461906
138458,2,12,5,11,0,19552,34143,2806,2531,3420,17748,9824,1779,0.143515,0,9.880884006326275,10.43834215410148,9.192685436737461,9.784084455288346,7.939871576361883,11.838329531903465,0,1,0,6.20455776256869
138458,3,12,5,3,0,2478,4306,212,124,149,2612,1443,166,0.085553,0,7.8156105320351905,8.36799688505411,7.275172319452771,7.868254265520613,5.3612921657094255,11.838329531903465,1,0,0,4.770684624465665
138895,2,12,5,3,0,9560,18264,973,559,885,9217,4748,621,0.101778,0,9.165447603085447,9.812741939229383,8.465689348549121,9.128913373280454,6.881411303642535,11.84148073063159,1,0,0,6.434546518787453
138895,1,12,4,11,1,36208,61262,1141,1068,1728,30131,14112,559,0.031512,0,10.497062985697864,11.022931350784171,9.554851637414007,10.313343008945585,7.040536390215956,11.84148073063159,0,0,1,5.1647859739235145
138895,2,12,4,2,0,4940,9390,385,306,501,5860,2930,273,0.077935,0,8.50532301884575,9.147507062804614,7.983098940710892,8.676075516476429,5.955837369464831,11.84148073063159,1,0,0,5.093750200806762
138895,2,12,3,10,0,1683,2929,192,171,221,1585,858,131,0.114082,0,7.428927194802272,7.982757702011113,6.755768921984255,7.368970402194793,5.262690188904886,11.84148073063159,1,0,0,3.6888794541139363
138895,3,12,3,3,0,5280,9578,368,237,345,4480,2422,268,0.069697,0,8.571870752706934,9.167328481382892,7.792761720816526,8.407601514786142,5.910796644040527,11.84148073063159,1,0,0,5.3230099791384085
138895,3,12,2,9,0,3002,5318,268,185,247,3039,1676,194,0.089274,0,8.00736706798333,8.579040594742317,7.424761761823209,8.019612794400267,5.594711379601839,11.84148073063159,1,0,0,4.836281906951478
138895,1,12,2,3,0,3766,7149,298,260,431,5782,2938,244,0.079129,0,8.23403420769204,8.874867635688053,7.985824666418917,8.662677858158219,5.700443573390687,11.84148073063159,1,0,0,4.330733340286331
138895,2,12,1,11,0,4512,7808,423,284,431,5183,2954,316,0.09375,0,8.414717399827001,8.963032193662675,7.991253929840199,8.55333223803211,6.049733455231958,11.84148073063159,1,0,0,5.298317366548036
138895,3,12,1,3,0,2690,4628,252,168,226,3052,1727,199,0.09368,0,7.897668150726906,8.44009614103127,7.454719949364001,8.023879992734878,5.53338948872752,11.84148073063159,1,0,0,4.736198448394496
138895,1,12,7,10,1,19800,28663,479,424,805,5187,2752,248,0.024192,1,9.893487720457795,10.26339725898479,7.920446505142607,8.554103545436334,6.173786103901937,11.84148073063159,1,0,0,4.61512051684126
138895,2,12,7,9,0,17576,33058,5352,5202,6547,23135,11792,4104,0.304506,1,9.774346508212899,10.406049122883656,9.37526141408997,10.04914512495849,8.585412430393381,11.84148073063159,0,1,0,5.598421958998375
138895,1,12,7,3,0,3290,6085,306,284,402,4986,2584,247,0.093009,1,8.098946748943339,8.713746330456916,7.85748078694253,8.514589805546123,5.726847747587197,11.84148073063159,1,0,0,4.0943445622221
138895,2,12,6,11,0,13280,24198,2055,1912,2720,17627,9344,1716,0.154744,1,9.49408972140025,10.094066588976938,9.142596719889664,9.777243825961877,7.628517626575055,11.84148073063159,0,1,0,5.572154032177765
138895,1,12,6,3,1,18480,28438,517,366,460,12078,6752,319,0.027976,1,9.824498456285756,10.255516721554965,8.817742129574842,9.399223686605279,6.249975242259483,11.84148073063159,0,0,0,5.356586274672012
138353,1,12,5,10,0,7268,13989,2087,2079,12074,13544,7096,1975,0.287149,0,8.891374009484636,9.546098067659527,8.867427438524983,9.513772754519195,7.643961949002529,11.837570896976379,1,0,0,3.6109179126442243
138353,1,12,5,3,1,2645,4270,134,109,170,2330,1377,101,0.050662,0,7.880804344674901,8.359603270841466,7.228388451573604,7.754052639035757,4.90527477843843,11.837570896976379,0,0,0,3.8501476017100584
138353,1,12,4,11,0,4284,8387,355,316,513,7283,3634,291,0.082866,0,8.36287583103188,9.03455739202181,8.19836438996762,8.8934354408475,5.87493073085203,11.837570896976379,1,0,0,4.07753744390572
138353,1,12,4,3,1,7968,13023,206,158,223,6734,3492,138,0.025853,0,8.983314293397749,9.474549088242322,8.158516244806831,8.815073088844464,5.332718793265369,11.837570896976379,0,0,0,4.276666119016055
138353,1,12,3,11,0,16576,30612,3572,3464,4802,24363,12888,3014,0.215492,0,9.715771471424866,10.329180034324262,9.46412951340478,10.100861911956375,8.181160858023409,11.837570896976379,0,1,0,5.3706380281276624
138353,1,12,3,2,0,1925,3481,97,83,126,2307,1180,77,0.05039,0,7.563200592358071,8.155362120328135,7.074116816197362,7.744136627627991,4.584967478670572,11.837570896976379,0,0,0,3.4965075614664802
138353,1,12,2,11,0,3786,7329,338,283,450,6336,3216,280,0.089276,0,8.239329427901795,8.899730794880696,8.076204527239026,8.754160749323518,5.82600010738045,11.837570896976379,1,0,0,4.532599493153256
138353,1,12,2,2,0,1536,3094,84,76,99,2903,1407,76,0.054688,0,7.337587743538596,8.037543185118697,7.249925536717988,7.973844375944687,4.442651256490317,11.837570896976379,0,0,0,2.70805020110221
